Productores;Unidad;Precio Productores;Existencia Inicial;Categoría;Productor;Ubicación;Precio Comercial;Margen
tamales de frijol en hoja de maiz;paquete de 4 pz;$25.00;30;;Angela;;$28.75;$3.75
tortillas;docena;$15.00;30;;Angela;;$17.25;$2.25
aguacate;kilo (min 1/2);$55.00;20;;Erika;;$63.25;$8.25
limon;kilo (min 1/2);$30.00;10;;Erika;;$34.50;$4.50
acelga;manojo;$10.00;50;;Jesus y Joaquina;;$11.50;$1.50
algafita;manojo;$10.00;50;;Jesus y Joaquina;;$11.50;$1.50
apio;manojo;$10.00;30;;Jesus y Joaquina;;$11.50;$1.50
arugula;manojo;$10.00;20;;Jesus y Joaquina;;$11.50;$1.50
betabel;manojo;$10.00;20;;Jesus y Joaquina;;$11.50;$1.50
brocoli;pieza;$15.00;20;;Jesus y Joaquina;;$17.25;$2.25
calabaza;kilo (min 1/2);$30.00;20;;Jesus y Joaquina;;$34.50;$4.50
cebolla morada;kilo (min 1/2);$60.00;20;;Jesus y Joaquina;;$69.00;$9.00
chile manzano;100 gramos;$6.00;5;;Jesus y Joaquina;;$6.90;$0.90
cilantro;manojo;$10.00;50;;Jesus y Joaquina;;$11.50;$1.50
col morada;pieza;$15.00;30;;Jesus y Joaquina;;$17.25;$2.25
colinabo;pieza;$10.00;15;;Jesus y Joaquina;;$11.50;$1.50
diente de leon;manojo;$10.00;30;;Jesus y Joaquina;;$11.50;$1.50
elote;pieza;$12.00;30;;Jesus y Joaquina;;$13.80;$1.80
elote cacahuacintle;pieza;$15.00;50;;Jesus y Joaquina;;$17.25;$2.25
elote criollo;pieza;$10.00;100;;Jesus y Joaquina;;$11.50;$1.50
flor de calabaza;manojo;$10.00;30;;Jesus y Joaquina;;$11.50;$1.50
flor de sauco;manojo;$10.00;30;;Jesus y Joaquina;;$11.50;$1.50
gordolobo;manojo;$10.00;25;;Jesus y Joaquina;;$11.50;$1.50
haba seca;kilo;$80.00;20;;Jesus y Joaquina;;$92.00;$12.00
hierbabuena;manojo;$10.00;10;;Jesus y Joaquina;;$11.50;$1.50
hinojo;manojo;$10.00;10;;Jesus y Joaquina;;$11.50;$1.50
kale rizado;manojo;$10.00;10;;Jesus y Joaquina;;$11.50;$1.50
lechuga mantequilla;pieza;$15.00;50;;Jesus y Joaquina;;$17.25;$2
lechuga mix;pieza;$10.00;50;;Jesus y Joaquina;;$11.50;$1.50
limon grande;kilo (min 1/2);$30.00;15;;Jesus y Joaquina;;$34.50;$4.50
mostaza;manojo;$10.00;20;;Jesus y Joaquina;;$11.50;$1.50
nopales;pieza;$2.50;500;;Jesus y Joaquina;;$2.88;$0.38
ortiga;manojo;$10.00;20;;Jesus y Joaquina;;$11.50;$1.50
perejil;manojo;$10.00;30;;Jesus y Joaquina;;$11.50;$1.50
peron;kilo (min 1/2);$35.00;30;;Jesus y Joaquina;;$40.25;$5.25
quintonil;manojo;$10.00;20;;Jesus y Joaquina;;$11.50;$1.50
romero;manojo;$10.00;30;;Jesus y Joaquina;;$11.50;$1.50
sopes;docena;$20.00;10;;Jesus y Joaquina;;$23.00;$3.00
te de monte;manojo;$10.00;10;;Jesus y Joaquina;;$11.50;$1.50
toronjil;manojo;$10.00;25;;Jesus y Joaquina;;$11.50;$1.50
huevo;pieza;$3.50;500;;Jorge;;$4.03;$0.53
panketo cacao con nuez;pieza;$215.02;10;;Marce;;$247.27;$32.25
panketo blueberry;pieza;$215.04;10;;Marce;;$247.30;$32.26
panketo nuez;pieza;$215.04;10;;Marce;;$247.30;$32.26
panketo naranja;pieza;$215.05;10;;Marce;;$247.31;$32.26
panketo vainilla;pieza;$215.06;10;;Marce;;$247.32;$32.26
chile jalapeño;100 gramos;$6.00;3;;Rancho Gola;;$6.90;$0.90
crema;medio litro;$75.00;5;;Rancho Gola;;$86.25;$11.25
galletas de amaranto;bolsita;$10.00;10;;Rancho Gola;;$11.50;$1.50
galletas de avena;bolsita;$10.00;10;;Rancho Gola;;$11.50;$1.50
hierbabuena;manojo;$10.00;5;;Rancho Gola;;$11.50;$1.50
higos cristalizados;domo;$50.00;10;;Rancho Gola;;$57.50;$7.50
jitomate cherry mix;kilo (min 1/2);$60.00;10;;Rancho Gola;;$69.00;$9.00
jitomate heirloom mix;kilo (min 1/2);$60.00;5;;Rancho Gola;;$69.00;$9.00
jitomate saladette;kilo (min 1/2);$20.00;100;;Rancho Gola;;$23.00;$3.00
lechuga;pieza;$10.00;5;;Rancho Gola;;$11.50;$1.50
limon;kilo (min 1/2);$30.00;10;;Rancho Gola;;$34.50;$4.50
licor de membrillo;litro;$150.00;10;;Rancho Gola;;$172.00;$22.50
licor de zarza;litro;$150.00;10;;Rancho Gola;;$172.00;$22.50
mermelada de zarza silvestre;frasco;$40.00;10;;Rancho Gola;;$46.00;$6.00
pan de caja (masa madre);pieza;$60.00;20;;Rancho Gola;;$69.00;$9.00
pan de canela (masa madre);pieza;$60.00;20;;Rancho Gola;;$69.00;$9.00
pan integral dulce (masa madre);pieza;$60.00;20;;Rancho Gola;;$69.00;$9.00
pan relleno higo (masa madre);pieza;$60.00;20;;Rancho Gola;;$69.00;$9.00
pan relleno zarza (masa madre);pieza;$60.00;20;;Rancho Gola;;$69.00;$9.00
panque de requeson;pieza;$60.00;20;;Rancho Gola;;$69.00;$9.00
