Productos;Unidad;Precio Productores;Existencia Inicial;Categoría;Productor;Ubicación;Precio Comercial;Margen
tamales de frijol en hoja de maiz;paquete de 4 pz;$25.00;20;;Ángela;;$28.75;$3.75
tortillas;docena;$15.00;40;;Ángela;;$17.25;$2.25
brócoli;pieza;$15.00;6;;Cristina;;$17.25;$2.25
chile manzano;100 gramos;$6.00;20;;Cristina;;$6.90;$0.90
cilantro;manojo;$10.00;10;;Cristina;;$11.50;$1.50
elote;pieza;$8.00;40;;Cristina;;$9.20;$1.20
haba verde;kilo (min 1/2);$30.00;2;;Cristina;;$34.50;$4.50
lechuga;pieza;$10.00;5;;Cristina;;$11.50;$1.50
manzana;kilo (min 1/2);$40.00;6;;Cristina;;$46.00;$6.00
menta;manojo;$10.00;8;;Cristina;;$11.50;$1.50
acelga;manojo;$10.00;10;;Cruz;;$11.50;$1.50
betabel;manojo;$10.00;3;;Cruz;;$11.50;$1.50
calabaza;kilo (min 1/2);$30.00;3;;Cruz;;$34.50;$4.50
chilacayote;kilo (min 1/2);$30.00;4;;Cruz;;$34.50;$4.50
chile manzano;100 gramos;$6.00;20;;Cruz;;$6.90;$0.90
conejo;pieza;$250.00;1;;Cruz;;$287.50;$37.50
espinaca;manojo;$10.00;3;;Cruz;;$11.50;$1.50
haba verde;kilo (min 1/2);$30.00;5;;Cruz;;$34.50;$4.50
hierbabuena;manojo;$10.00;5;;Cruz;;$11.50;$1.50
kale;manojo;$10.00;3;;Cruz;;$11.50;$1.50
manzana;kilo (min 1/2);$40.00;6;;Cruz;;$46.00;$6.00
nopales;pieza;$2.50;30;;Cruz;;$2.88;$0.38
nuez;ciento;$120.00;2;;Cruz;;$138.00;$18.00
quelites;manojo;$10.00;5;;Cruz;;$11.50;$1.50
aguacate;kilo (min 1/2);$55.00;20;;Erika;;$63.25;$8.25
berros;manojo;$10.00;10;;Erika;;$11.50;$1.50
limon;kilo (min 1/2);$30.00;10;;Erika;;$34.50;$4.50
pera ;kilo (min 1/2);$35.00;10;;Erika;;$40.25;$5.25
árnica;manojo;$10.00;10;;Rancho Gola;;$11.50;$1.50
chile jalapeño;100 gramos;$6.00;6;;Rancho Gola;;$6.90;$0.90
chile serrano;100 gramos;$6.00;0;;Rancho Gola;;$6.90;$0.90
crema;medio litro;$75.00;10;;Rancho Gola;;$86.25;$11.25
ejote morado;kilo (min 1/2);$40.00;;;Rancho Gola;;$46.00;$6.00
galletas de amaranto;bolsita;$10.00;20;;Rancho Gola;;$11.50;$1.50
galletas de avena;bolsita;$10.00;20;;Rancho Gola;;$11.50;$1.50
higos cristalizados;domo;$50.00;20;;Rancho Gola;;$57.50;$7.50
jitomate bola;kilo;$25.00;4;;Rancho Gola;;$28.75;$3.75
jitomate cherry mix;kilo (min 1/2);$60.00;40;;Rancho Gola;;$69.00;$9.00
